Feature,R_squared,Adj_R_squared,F_statistic,F_pvalue,Neurodev_coef,Neurodev_pvalue,Genetic_coef,Genetic_pvalue,Age_coef,Age_pvalue,Sex_coef,Sex_pvalue,N_samples
EEG_Delta_temporal_r,0.126795659167177,,5.91719815104732,0.0001800205249397,-0.12286024507597,0.317944560500661,0.17341450698888,0.211029747257125,-0.0090483952724798,0.00749467765028133,0.202578196820658,0.0476179235704,168
EEG_Delta_temporal_l,0.193721503422773,,9.79084931322099,4.01366008356753e-07,-0.0799395418489565,0.498536062958291,0.148651033552453,0.264297615705151,-0.0130440863489713,7.53210631807555e-05,0.259713471819679,0.0085260315639637,168
EEG_Delta_parietal_r,0.191967654560502,,9.68114948305147,4.75046455386178e-07,-0.0824889874459664,0.485433385158798,0.176241212086922,0.186492699099256,-0.0114144743253675,0.000501857658988136,0.305922302171307,0.00205077302653867,168
EEG_Delta_parietal_l,0.222757144305233,,11.6789154945967,2.30488747600517e-08,-0.0780300100927783,0.501036240162757,0.179339992738061,0.170580879349942,-0.0129795034510319,6.08247409712437e-05,0.31210298834525,0.00136008982074443,168
EEG_Delta_Occipital,0.225321559129202,,11.8524707157126,1.77987004530881e-08,-0.090295845901569,0.435549174196767,0.142309169743004,0.275562848605137,-0.0148676657778701,4.96660680959771e-06,0.252328077723367,0.00911320364252011,168
EEG_Delta_WholeBrain,0.174962634173588,,8.64170234936219,2.37760054469636e-06,-0.126561053598021,0.289973961592619,0.174745278147018,0.194846914611267,-0.0118871805388526,0.000340598139559001,0.216925569231341,0.029309189191878,168
EEG_Theta_Frontal,0.238719972104845,,12.7782662185014,4.53612933712314e-09,-0.0584131264870457,0.610677220024476,0.301095726318379,0.0207632994428573,-0.0148087056663815,4.50547062880169e-06,0.0929921106248137,0.327942257380371,168
EEG_Theta_Central,0.246145589841063,,13.3055304192073,2.10090214689089e-09,-0.0641315292952085,0.574358598722483,0.263606727551851,0.0415435867871741,-0.0151023610441816,2.68941210102014e-06,0.16481644895016,0.0824137768798889,168
EEG_Theta_temporal_r,0.251168185658067,,13.6680939158024,1.24209737881399e-09,-0.0877734443143263,0.440745287520421,0.303056609254882,0.0189754125673556,-0.013952484135995,1.24004124206767e-05,0.191707929919711,0.0430085439665533,168
EEG_Theta_temporal_l,0.253278185923443,,13.8218622809941,9.94823862928126e-10,-0.0178671063275491,0.875015981446049,0.203692276261075,0.112661471554852,-0.0164612615519147,3.27073453432192e-07,0.187257495738587,0.047706436745792,168
EEG_Theta_parietal_r,0.207227848558606,,10.6519064947092,1.07939698140447e-07,-0.0518443759911522,0.657886190522958,0.15338178465725,0.245478103943984,-0.0131774136185589,5.58615719503663e-05,0.293373231195399,0.00281430100925717,168
EEG_Theta_parietal_l,0.23445340143782,,12.4799406418043,7.03162638493517e-09,-0.0686036423835539,0.551063679524623,0.153122636458525,0.238080106297723,-0.0146215075298578,6.1764391543484e-06,0.286934997984009,0.00294286837175806,168
EEG_Theta_Occipital,0.214884141000312,,11.1531675807942,5.0649921370232e-08,-0.0499959988313536,0.66782829044247,0.143627982227635,0.27435148430129,-0.0152273681010237,3.47589353344446e-06,0.210087122512211,0.030478103271655,168
EEG_Theta_WholeBrain,0.248849784335289,,13.5001341944491,1.58391248214024e-09,-0.0597114168920568,0.600342885303178,0.224215445128333,0.0819199443894614,-0.0153834965664394,1.72877891491119e-06,0.210940932353389,0.0263955491990411,168
EEG_Alpha_Frontal,0.194670918471403,,9.85043271087682,3.66297970982017e-07,-0.00913269557277476,0.938289562494049,0.481521146136535,0.000378210856109895,-0.00734700331978459,0.023335214955865,0.148538683910645,0.129484256772497,168
EEG_Alpha_Central,0.197341728663943,,10.0188034313407,2.83024429403978e-07,-0.0795163484450964,0.499846411156214,0.420193847645495,0.00180075600217644,-0.00825638595216746,0.0108486015971794,0.167807484326804,0.0865335357134045,168
EEG_Alpha_temporal_r,0.217549456678669,,11.3299689486126,3.88401901413083e-08,-0.0813960848180596,0.484235128456818,0.398362826466373,0.00269527664719904,-0.00868325375670174,0.00672753421532657,0.248363830903869,0.0106156182573609,168
EEG_Alpha_temporal_l,0.184274583364143,,9.20553548896093,9.89587262668393e-07,-0.0428057825622337,0.718484216996579,0.317180604512641,0.0186521109935969,-0.0102518857718478,0.00179619019106458,0.203302772647254,0.0398085770872554,168
EEG_Alpha_parietal_r,0.177629645269685,,8.80188348607649,1.85215995656664e-06,-0.0621173218503944,0.602446979917096,0.276708598240194,0.0405432595516064,-0.00739887542651324,0.0238059288797294,0.340102095272992,0.000707049581585295,168
EEG_Alpha_parietal_l,0.186993362716312,,9.3725920321494,7.64281518012833e-07,-0.0748668480973398,0.527859129258059,0.264729587086074,0.0486448953171699,-0.00890805428946484,0.00639010528808948,0.316732828598794,0.001478030666203,168
EEG_Alpha_Occipital,0.170756384948642,,8.39116824098335,3.51775241478495e-06,-0.0576483973578433,0.630209207765593,0.284212935836934,0.0362277730096074,-0.00784499126161785,0.0171047465712071,0.30291058020179,0.00256920166071395,168
EEG_Alpha_WholeBrain,0.198228821304746,,10.0749748591783,2.59727573842801e-07,-0.0581190269797197,0.621589349745578,0.350588979302006,0.0088607581027369,-0.00853697167760427,0.00844479906560047,0.276890210767519,0.00498292463576,168
EEG_Beta_Frontal,0.0426395560715356,,1.81495059769247,0.128367956447352,0.0834790092427143,0.51657230559528,0.167605448311966,0.248132048302776,-0.00558944248612513,0.112090764889715,0.0498449112694319,0.639696867198349,168
EEG_Beta_Central,0.118943252537453,,5.50127736364364,0.000352331482581598,-0.0339111408111304,0.78346151304386,0.3093555742125,0.0271125838107511,-0.00482312401760302,0.152653304505855,0.242831668927042,0.0183845555133664,168
EEG_Beta_temporal_r,0.132929845886549,,6.24735056809265,0.000105814194081619,-0.0391172936831564,0.749321407065246,0.309912624187729,0.0256593779677683,-0.005029638063358,0.132852570459563,0.27601987383646,0.00705051853233329,168
EEG_Beta_temporal_l,0.0753552221455679,,3.32097836485623,0.0120432171403951,0.145588820819317,0.250357960159427,0.194724956050902,0.172507763191247,-0.0037211551657958,0.280769448405194,0.259652552886906,0.0139283440492912,168
EEG_Beta_parietal_r,0.150855303740064,,7.23946537555218,2.16614457380963e-05,-0.0802993830279095,0.507664245742071,0.108794045001351,0.42554005282461,-0.00743795969774181,0.025322473451767,0.388171266876686,0.000152411752541548,168
EEG_Beta_parietal_l,0.182811772206546,,9.11611237662083,1.13664658238498e-06,-0.0134054534767287,0.91017947830369,0.254090902654262,0.0589532298221804,-0.006563896757094,0.0439272165427951,0.408125536161531,5.20878091829768e-05,168
EEG_Beta_Occipital,0.165361832448667,,8.07355203039973,5.79141766621171e-06,-0.0200394742826862,0.86747708685845,0.255028797314197,0.0606919678656013,-0.00708834936414543,0.0314750791206848,0.353094156192554,0.000489291179676776,168
EEG_Beta_WholeBrain,0.117369425025365,,5.41880624282826,0.00040260611151206,0.029850603295254,0.809016115038184,0.236137097285037,0.0909079799559493,-0.00650723807592625,0.054481043095671,0.274271718517885,0.00794130338588772,168
EEG_LowGamma_Frontal,0.0252650481951397,,1.05623658210426,0.380055322434208,0.183147365679858,0.159442749559367,0.0105261051964674,0.942579057006866,0.00111033959232973,0.753542187094242,-0.125412981265257,0.243922480380494,168
EEG_LowGamma_Central,0.0204359916422568,,0.850140115721587,0.495403327250554,0.173113859866037,0.184497170589416,0.110923193836755,0.449350074441354,0.00532474506006605,0.134387236179396,0.0528679299779316,0.623541226325049,168
EEG_LowGamma_temporal_r,0.0293176518277661,,1.23077782781463,0.299852470062237,0.123241321915043,0.341962437608551,0.214828812421274,0.142038663976684,0.00665500718168218,0.0606746034654424,0.110945523756132,0.301403252420761,168
EEG_LowGamma_temporal_l,0.0327052023724078,,1.377798164473,0.243880222571543,0.243165238520986,0.0613744362428195,0.0809987440026479,0.578121417627995,0.00350384862420764,0.32059635801524,0.135536840903459,0.206348551837656,168
EEG_LowGamma_parietal_r,0.0489808957990853,,2.09877119712523,0.0833091638361164,0.00104080855343556,0.993521783931006,-0.122991357418261,0.394713635283545,-0.00421903009407039,0.228091356357346,0.255567038325328,0.0169454287510145,168
EEG_LowGamma_parietal_l,0.0483074862818798,,2.06845177156626,0.087286210618897,0.188228448481522,0.14346219712419,0.121611509595823,0.400193616806298,0.00109097103050338,0.754882354229215,0.260648916199,0.0149462374521565,168
EEG_LowGamma_Occipital,0.0614635891230257,,2.66866711587989,0.0341656260455053,0.174546136849978,0.171712606394218,0.0356250482491582,0.803815294276987,-0.00487335067166404,0.161409435910488,0.222821409752435,0.0357358221585045,168
EEG_LowGamma_WholeBrain,0.0202275812917138,,0.841291224266188,0.500855456528749,0.216665587872876,0.0972804716261804,0.0551688140059853,0.706573502563453,0.00167767698787241,0.636151373649902,0.0624141614170298,0.562372555750332,168
EEG_HighGamma_Frontal,0.040844832012379,,1.73530515192503,0.144649160520266,0.203488652896484,0.115339124121719,0.0173450815296029,0.904761646537821,0.00348138901782973,0.321660348186529,-0.15994511772735,0.134634357945105,168
EEG_HighGamma_Central,0.0607977624499564,,2.63788641123601,0.0358716385876696,0.18843451342168,0.140413667456669,0.0442119428456435,0.757957865650853,0.00966627894945845,0.00591222149810133,0.0139639845587344,0.89463100565463,168
EEG_HighGamma_temporal_r,0.0794741404658881,,3.51817517176977,0.00876332878498196,0.165430793757159,0.190780792902534,0.158214081006031,0.266159262069995,0.0125653962828403,0.000337341572247407,0.0778501434627224,0.45612952578535,168
EEG_HighGamma_temporal_l,0.0475771661941048,,2.03561848119749,0.0917971840099202,0.271738437834062,0.0353903420130872,0.107396333119196,0.457583356260718,0.0069926807868479,0.0467555634785342,0.107350456520481,0.312707450180497,168
EEG_HighGamma_parietal_r,0.0240602795069641,,1.00462802089199,0.406817501507651,0.022490845479238,0.862503527636618,-0.139141123214553,0.341999058341122,-0.000901922813338738,0.798805294561287,0.175310254460157,0.104241963404285,168
EEG_HighGamma_parietal_l,0.0383369097670846,,1.6245076772473,0.170505005355786,0.203343788905605,0.116068459585473,0.0601803650872435,0.678515823563012,0.00397440845422394,0.258723356341204,0.199836035534167,0.0624320982060897,168
EEG_HighGamma_Occipital,0.0523113856299294,,2.24935588767897,0.0659957683159854,0.195883159089541,0.127186515533537,-0.0350551011410191,0.807807086899466,-0.00393275859015437,0.26024943078402,0.190666912758271,0.0732118945269098,168
EEG_HighGamma_WholeBrain,0.0351012764510704,,1.48241155312151,0.209861746014909,0.238514601566636,0.0661163230336868,0.0373457115514249,0.797312403050267,0.00518364300111315,0.141947499683156,0.0225036667229905,0.833219321331324,168
EEG_relative_Delta_Frontal,0.0410794481322782,,1.74569989988204,0.142420043129171,-0.135630667728827,0.292849033332268,-0.0949112291742076,0.512871929383863,-0.00697659122230722,0.0480038259666515,0.135570557547681,0.2042760870842,168
EEG_relative_Delta_Central,0.0532338126504465,,2.29124982967395,0.0618311076665863,-0.0882997511347192,0.490279030945866,-0.204491671562182,0.156931755140434,-0.0101405432315232,0.00406484035129151,0.0441961117907773,0.676374026498836,168
EEG_relative_Delta_temporal_r,0.0449883091334224,,1.91963471727082,0.1095730474288,-0.0746047482221118,0.561596590187911,-0.144656341488898,0.31803294992829,-0.00947577699814664,0.00741466066722762,0.0218565310651066,0.837122421839623,168
EEG_relative_Delta_temporal_l,0.0477006310492453,,2.0411656025756,0.0910197736921843,-0.129172501333133,0.314689826676416,-0.173265370159069,0.231351446784859,-0.0088955902165311,0.0117208202171446,0.0973763884910446,0.359629573052558,168
EEG_relative_Delta_parietal_r,0.0420950884717629,,1.79075692647573,0.133122915957356,-0.0671688514298351,0.60175546178649,-0.0774004318455695,0.593311649703036,-0.00846637818659531,0.0166612717599068,0.071023204139481,0.505027778323717,168
EEG_relative_Delta_parietal_l,0.0525533399656796,,2.26033685476696,0.0648787219723553,-0.0104968852301406,0.934615375560565,-0.0899245174891935,0.532777655041054,-0.00902897495879108,0.0103503710348771,0.107433902453011,0.311069233410412,168
