$participant_id
x <character> 
# total N=210 valid N=210 mean=105.50 sd=60.77

Value                | N | Raw % | Valid % | Cum. %
Q1K_HSJ_1525-1089_P  | 1 |  0.48 |    0.48 |  71.90
Q1K_HSJ_1525-1089_S1 | 1 |  0.48 |    0.48 |  72.38
Q1K_HSJ_1525-1093_P  | 1 |  0.48 |    0.48 |  72.86
Q1K_HSJ_1525-1093_S1 | 1 |  0.48 |    0.48 |  73.33
Q1K_HSJ_1525-1102_P  | 1 |  0.48 |    0.48 |  73.81
Q1K_HSJ_1525-1102_S1 | 1 |  0.48 |    0.48 |  74.29
Q1K_HSJ_1525-1102_S2 | 1 |  0.48 |    0.48 |  74.76
Q1K_HSJ_1525-1106_P  | 1 |  0.48 |    0.48 |  75.24
Q1K_HSJ_1525-1109_P  | 1 |  0.48 |    0.48 |  75.71
Q1K_HSJ_1525-1112_P  | 1 |  0.48 |    0.48 |  76.19
Q1K_HSJ_1525-1114_P  | 1 |  0.48 |    0.48 |  76.67
Q1K_HSJ_1525-1118_P  | 1 |  0.48 |    0.48 |  77.14
Q1K_HSJ_1525-1121_P  | 1 |  0.48 |    0.48 |  77.62
Q1K_HSJ_1525-1121_S1 | 1 |  0.48 |    0.48 |  78.10
Q1K_HSJ_1525-1130_P  | 1 |  0.48 |    0.48 |  78.57
Q1K_HSJ_1525-1130_S1 | 1 |  0.48 |    0.48 |  79.05
Q1K_HSJ_1525-1130_S2 | 1 |  0.48 |    0.48 |  79.52
Q1K_HSJ_1525-1134_P  | 1 |  0.48 |    0.48 |  80.00
Q1K_HSJ_1525-1134_S1 | 1 |  0.48 |    0.48 |  80.48
Q1K_HSJ_1525-1143_P  | 1 |  0.48 |    0.48 |  80.95
Q1K_HSJ_1525-1143_S1 | 1 |  0.48 |    0.48 |  81.43
Q1K_HSJ_1525-1147_P  | 1 |  0.48 |    0.48 |  81.90
Q1K_HSJ_1525-1147_S1 | 1 |  0.48 |    0.48 |  82.38
Q1K_HSJ_1525-1152_P  | 1 |  0.48 |    0.48 |  82.86
Q1K_HSJ_1525-1156_P  | 1 |  0.48 |    0.48 |  83.33
Q1K_HSJ_1525-1159_P  | 1 |  0.48 |    0.48 |  83.81
Q1K_HSJ_1525-1159_S1 | 1 |  0.48 |    0.48 |  84.29
Q1K_HSJ_1525-1159_S2 | 1 |  0.48 |    0.48 |  84.76
Q1K_HSJ_1525-1162_P  | 1 |  0.48 |    0.48 |  85.24
Q1K_HSJ_1525-1169_P  | 1 |  0.48 |    0.48 |  85.71
Q1K_HSJ_1525-1182_P  | 1 |  0.48 |    0.48 |  86.19
Q1K_HSJ_1525-1187_P  | 1 |  0.48 |    0.48 |  86.67
Q1K_HSJ_1525-1192_P  | 1 |  0.48 |    0.48 |  87.14
